Salon,Gender,Price
Sola Salon,Female,43.45
Tremont Barber,Female,60.45
Great Clips,Female,29.09
Newbury Street Salon,Female,51.02
Great Clips,Female,30.28
Floyd's 99,Female,37.45
Chinatown Barber,Female,44.9
Harvard Sq Hair,Male,22.8
South End Studio,Female,39.63
Fenway Barbers,Female,33.46
Sola Salon,Male,35.35
The Cut,Male,56.21
Harvard Sq Hair,Female,31.72
Floyd's 99,Male,36.63
Downtown Cuts,Male,21.55
Newbury Street Salon,Male,45.41
Back Bay Hair,Female,59.32
Great Clips,Male,25.47
Fenway Barbers,Male,28.48
Cambridge Cuts,Female,48.81
Campus Cuts,Male,30.51
Sola Salon,Female,45.18
Roxbury Cuts,Female,67.23
Seaport Studio,Male,44.01
Downtown Cuts,Male,16.69
Tremont Barber,Female,62.06
Tremont Barber,Male,55.48
Roxbury Cuts,Female,64.53
Sola Salon,Male,41.26
Sola Salon,Male,38.82
Fenway Barbers,Female,33.02
Chinatown Barber,Female,44.91
Seaport Studio,Female,49.01
Tremont Barber,Female,62.22
Fenway Barbers,Female,30.92
Back Bay Hair,Female,58.2
The Cut,Male,56.38
Harvard Sq Hair,Female,33.61
Seaport Studio,Female,45.56
Chinatown Barber,Female,49.93
Back Bay Hair,Male,42.62
Tremont Barber,Male,55.4
SuperCuts,Male,58.9
Beacon Hill Salon,Male,46.82
Sola Salon,Male,43.26
Newbury Street Salon,Female,44.77
SuperCuts,Male,59.86
South End Studio,Male,41.68
Campus Cuts,Male,32.87
Great Clips,Female,23.63
The Cut,Male,56.13
The Cut,Female,64.44
Beacon Hill Salon,Male,50.27
Seaport Studio,Male,43.24
Harvard Sq Hair,Male,19.94
Tremont Barber,Female,63.19
SuperCuts,Male,56.31
Downtown Cuts,Male,24.28
Fenway Barbers,Female,35.02
Cambridge Cuts,Male,44.96
South End Studio,Female,40.35
The Cut,Female,60.22
Sola Salon,Male,36.71
Tremont Barber,Female,62.77
The Cut,Female,64.13
Chinatown Barber,Female,49.52
Great Clips,Male,27.56
Beacon Hill Salon,Male,48.81
Beacon Hill Salon,Female,46.18
Cambridge Cuts,Male,43.92
Cambridge Cuts,Male,47.69
Harvard Sq Hair,Female,28.18
Great Clips,Female,27.79
Chinatown Barber,Female,46.79
Seaport Studio,Male,39.83
Tremont Barber,Female,58.92
Downtown Cuts,Female,25.03
Fenway Barbers,Female,32.96
Floyd's 99,Female,41.1
SuperCuts,Female,68.25
Northeastern Salon,Male,58.14
Campus Cuts,Female,36.0
Fenway Barbers,Female,30.41
South End Studio,Male,42.49
Chinatown Barber,Female,46.6
Beacon Hill Salon,Female,52.64
Chinatown Barber,Male,41.34
Great Clips,Female,31.45
Harvard Sq Hair,Male,19.52
Boston Barber,Female,43.29
Downtown Cuts,Female,24.91
South End Studio,Male,43.45
Seaport Studio,Female,51.25
Campus Cuts,Female,33.91
Newbury Street Salon,Female,48.33
Boston Barber,Male,32.39
Floyd's 99,Male,41.28
Downtown Cuts,Male,21.61
Fenway Barbers,Female,31.93
Floyd's 99,Male,35.8
Campus Cuts,Male,28.58
Great Clips,Male,25.48
Sola Salon,Female,44.07
Back Bay Hair,Female,60.38
Tremont Barber,Male,56.74
Boston Barber,Female,45.39
Newbury Street Salon,Male,51.89
Roxbury Cuts,Female,65.35
Sola Salon,Male,40.32
Harvard Sq Hair,Male,21.35
South End Studio,Female,38.62
Downtown Cuts,Female,26.18
South End Studio,Female,42.22
Northeastern Salon,Male,56.82
Sola Salon,Female,43.37
Back Bay Hair,Female,59.43
Roxbury Cuts,Female,67.28
Chinatown Barber,Female,46.95
South End Studio,Female,41.72
The Cut,Female,60.86
Newbury Street Salon,Male,46.22
Newbury Street Salon,Male,48.12
Boston Barber,Female,40.78
Great Clips,Female,28.67
Seaport Studio,Male,43.06
Sola Salon,Female,44.16
Boston Barber,Female,43.8
Fenway Barbers,Female,31.59
Floyd's 99,Female,40.87
Cambridge Cuts,Male,42.13
Cambridge Cuts,Female,51.91
Chinatown Barber,Female,48.25
SuperCuts,Female,69.42
Cambridge Cuts,Male,45.78
Roxbury Cuts,Male,58.12
Boston Barber,Male,35.02
Newbury Street Salon,Female,50.0
Newbury Street Salon,Female,49.02
Northeastern Salon,Male,59.11
Cambridge Cuts,Female,51.12
The Cut,Female,62.71
Seaport Studio,Female,44.69
Beacon Hill Salon,Male,51.51
Beacon Hill Salon,Female,47.62
Seaport Studio,Female,47.87
Harvard Sq Hair,Male,19.54
Campus Cuts,Female,34.48
Cambridge Cuts,Male,44.1
SuperCuts,Female,66.16
Great Clips,Male,25.53
Roxbury Cuts,Male,55.51
Roxbury Cuts,Female,61.89
Sola Salon,Female,45.87
Boston Barber,Male,30.11
Floyd's 99,Male,43.4
Sola Salon,Female,42.87
The Cut,Male,57.22
Fenway Barbers,Male,30.22
SuperCuts,Male,55.76
Chinatown Barber,Male,42.97
Boston Barber,Male,35.16
Seaport Studio,Male,39.51
Great Clips,Female,26.99
Roxbury Cuts,Female,66.65
Campus Cuts,Male,33.42
Roxbury Cuts,Male,59.94
Northeastern Salon,Male,58.58
Campus Cuts,Female,33.66
SuperCuts,Female,70.08
South End Studio,Male,41.65
Back Bay Hair,Male,41.67
Seaport Studio,Male,44.48
Back Bay Hair,Male,42.6
Harvard Sq Hair,Male,22.06
Beacon Hill Salon,Male,47.49
Tremont Barber,Male,53.79
Back Bay Hair,Male,41.85
Seaport Studio,Male,41.4
Cambridge Cuts,Female,55.6
Seaport Studio,Female,49.36
Beacon Hill Salon,Male,51.32
Sola Salon,Male,42.37
Fenway Barbers,Female,34.44
Harvard Sq Hair,Female,33.9
Back Bay Hair,Female,57.07
Back Bay Hair,Male,41.58
Chinatown Barber,Female,47.77
Great Clips,Female,24.98
Northeastern Salon,Male,58.87
South End Studio,Female,38.85
Fenway Barbers,Male,30.73
Downtown Cuts,Female,22.34
Back Bay Hair,Male,42.4
Cambridge Cuts,Female,50.77
Roxbury Cuts,Female,66.26
Roxbury Cuts,Male,56.91
Downtown Cuts,Female,28.09
Boston Barber,Female,44.61
Downtown Cuts,Female,24.53
Campus Cuts,Male,31.68
Back Bay Hair,Female,55.37
Back Bay Hair,Female,58.33
Seaport Studio,Female,50.35
Seaport Studio,Male,42.81
Harvard Sq Hair,Female,31.83
Chinatown Barber,Male,40.61
Tremont Barber,Male,54.92
Seaport Studio,Male,43.48
Beacon Hill Salon,Male,54.2
Floyd's 99,Female,42.58
Harvard Sq Hair,Female,33.35
Fenway Barbers,Female,32.58
Fenway Barbers,Female,31.3
Seaport Studio,Male,46.34
Floyd's 99,Male,38.79
Newbury Street Salon,Male,49.37
Great Clips,Female,22.57
Fenway Barbers,Female,33.62
Cambridge Cuts,Female,53.64
Newbury Street Salon,Male,45.1
Beacon Hill Salon,Male,46.79
The Cut,Female,60.86
Harvard Sq Hair,Male,22.01
Great Clips,Female,25.65
Sola Salon,Female,45.34
Back Bay Hair,Male,44.33
Roxbury Cuts,Male,55.85
Floyd's 99,Female,43.58
Sola Salon,Female,44.16
Roxbury Cuts,Female,66.96
Chinatown Barber,Male,41.67
Beacon Hill Salon,Male,47.02
Northeastern Salon,Female,59.77
The Cut,Male,58.18
South End Studio,Male,43.96
Great Clips,Female,25.57
Chinatown Barber,Male,39.27
Roxbury Cuts,Male,60.03
Seaport Studio,Male,44.26
Northeastern Salon,Male,62.72
South End Studio,Male,38.85
Harvard Sq Hair,Female,32.61
Fenway Barbers,Female,30.25
Boston Barber,Male,35.44
Northeastern Salon,Female,62.35
Downtown Cuts,Male,21.65
Fenway Barbers,Male,29.7
Cambridge Cuts,Female,54.03
Fenway Barbers,Female,31.93
Sola Salon,Female,43.94
SuperCuts,Female,71.54
Great Clips,Female,26.45
Roxbury Cuts,Female,65.0
Great Clips,Male,25.05
Boston Barber,Male,32.22
Cambridge Cuts,Female,52.87
Fenway Barbers,Male,30.49
Northeastern Salon,Female,58.96
Seaport Studio,Female,46.51
Chinatown Barber,Female,44.1
Chinatown Barber,Male,44.57
Floyd's 99,Female,40.49
Harvard Sq Hair,Female,32.17
Floyd's 99,Male,37.78
Cambridge Cuts,Male,41.79
Sola Salon,Female,42.32
Downtown Cuts,Male,22.22
Beacon Hill Salon,Male,47.79
Floyd's 99,Female,43.26
SuperCuts,Male,60.02
Floyd's 99,Female,35.43
Downtown Cuts,Male,18.32
Newbury Street Salon,Male,49.1
Fenway Barbers,Male,30.81
Newbury Street Salon,Female,46.23
Newbury Street Salon,Female,51.54
Tremont Barber,Female,57.93
Harvard Sq Hair,Female,31.4
Boston Barber,Female,42.37
Beacon Hill Salon,Male,44.73
Roxbury Cuts,Female,66.93
Great Clips,Female,27.72
Roxbury Cuts,Female,65.33
Cambridge Cuts,Male,43.17
Downtown Cuts,Male,22.28
Newbury Street Salon,Male,47.46
Tremont Barber,Male,53.61
Fenway Barbers,Female,31.96
Chinatown Barber,Male,45.42
Beacon Hill Salon,Male,45.34
Campus Cuts,Female,35.4
Sola Salon,Male,42.1
Harvard Sq Hair,Female,29.24
Cambridge Cuts,Female,47.48
The Cut,Female,65.13
Newbury Street Salon,Male,44.87
Chinatown Barber,Male,45.6
Back Bay Hair,Female,56.33
Back Bay Hair,Male,41.19
South End Studio,Male,43.01
Cambridge Cuts,Female,51.74
Beacon Hill Salon,Female,49.68
South End Studio,Male,39.92
Northeastern Salon,Male,59.74
Newbury Street Salon,Female,46.77
The Cut,Female,60.62
Sola Salon,Male,39.49
Boston Barber,Male,32.95
Boston Barber,Male,31.49
Campus Cuts,Female,35.55
Campus Cuts,Male,31.46
Newbury Street Salon,Female,47.0
South End Studio,Male,42.99
SuperCuts,Male,59.71
Beacon Hill Salon,Male,48.66
Chinatown Barber,Female,45.72
Downtown Cuts,Male,25.03
Tremont Barber,Male,54.05
SuperCuts,Female,69.33
South End Studio,Female,43.39
Harvard Sq Hair,Male,19.76
The Cut,Male,59.74
Harvard Sq Hair,Female,31.24
Harvard Sq Hair,Male,24.92
Great Clips,Female,25.97
Downtown Cuts,Male,21.56
The Cut,Male,59.49
Newbury Street Salon,Female,45.37
Back Bay Hair,Female,55.84
Boston Barber,Male,32.93
Cambridge Cuts,Female,52.82
The Cut,Male,58.78
Cambridge Cuts,Male,41.61
Boston Barber,Female,45.69
Northeastern Salon,Male,59.99
Cambridge Cuts,Male,47.08
Beacon Hill Salon,Male,50.88
Roxbury Cuts,Female,66.24
Great Clips,Female,26.44
Downtown Cuts,Female,24.17
Roxbury Cuts,Male,55.84
Cambridge Cuts,Male,44.31
Great Clips,Female,30.06
Back Bay Hair,Female,58.9
Campus Cuts,Female,38.42
South End Studio,Male,39.99
Tremont Barber,Male,56.59
Seaport Studio,Female,48.71
Sola Salon,Female,46.79
Roxbury Cuts,Male,55.15
Campus Cuts,Male,30.48
Campus Cuts,Female,33.96
Tremont Barber,Female,60.48
Harvard Sq Hair,Male,23.77
Back Bay Hair,Male,42.46
Beacon Hill Salon,Female,52.28
Great Clips,Male,28.48
Floyd's 99,Female,39.51
Northeastern Salon,Male,57.31
Tremont Barber,Female,59.58
Campus Cuts,Male,26.5
Back Bay Hair,Male,43.81
Chinatown Barber,Male,42.57
Tremont Barber,Female,59.56
Back Bay Hair,Female,52.86
Boston Barber,Female,42.21
Northeastern Salon,Male,57.66
The Cut,Male,60.17
Downtown Cuts,Female,22.84
Fenway Barbers,Male,28.84
Downtown Cuts,Female,25.71
Beacon Hill Salon,Male,51.15
Northeastern Salon,Female,59.04
Seaport Studio,Female,46.58
Tremont Barber,Male,51.97
Tremont Barber,Female,60.53
Tremont Barber,Male,56.02
South End Studio,Male,40.03
Northeastern Salon,Male,59.29
Downtown Cuts,Male,20.25
Great Clips,Female,28.15
SuperCuts,Male,56.66
Harvard Sq Hair,Female,32.53
Back Bay Hair,Female,56.59
Beacon Hill Salon,Male,50.72
Campus Cuts,Male,33.56
Fenway Barbers,Female,30.87
Beacon Hill Salon,Male,49.11
Beacon Hill Salon,Female,54.09
Campus Cuts,Male,29.4
The Cut,Male,57.37
Newbury Street Salon,Male,48.12
Back Bay Hair,Female,55.51
Downtown Cuts,Male,17.61
SuperCuts,Male,56.71
Northeastern Salon,Male,55.08
The Cut,Female,64.47
Seaport Studio,Female,46.52
