id,initials,category,birth_year,death_year,death_age,gender
66,VIP,Positive,1916,1985,68.3,Male
67,ACE,Positive,1883,1986,102.3,Male
68,WOW,Positive,1935,1975,39.3,Male
69,VIP,Positive,1877,1972,94.3,Male
70,ACE,Positive,1949,1994,44.3,Male
71,JOY,Positive,1933,1973,39.3,Male
72,WOW,Positive,1888,1991,102.3,Male
73,WIN,Positive,1870,1984,113.3,Male
74,ACE,Positive,1936,1971,34.3,Male
75,WOW,Positive,1928,1994,65.3,Male
76,WOW,Positive,1930,1986,55.3,Male
77,WIN,Positive,1933,1991,57.3,Male
78,WIN,Positive,1877,1989,111.3,Male
79,WIN,Positive,1901,1982,80.3,Male
80,ACE,Positive,1881,1983,101.3,Male
81,WIN,Positive,1940,1985,44.3,Male
82,JOY,Positive,1922,1969,46.3,Male
83,WOW,Positive,1899,1993,93.3,Male
84,WIN,Positive,1876,1989,112.3,Male
85,WOW,Positive,1897,1985,87.3,Male
86,VIP,Positive,1899,1991,91.3,Male
87,VIP,Positive,1930,1993,62.3,Male
88,WIN,Positive,1923,1979,55.3,Male
89,WOW,Positive,1942,1985,42.3,Male
90,VIP,Positive,1910,1994,83.3,Male
91,WIN,Positive,1881,1982,100.3,Male
92,WOW,Positive,1929,1988,58.3,Male
93,WIN,Positive,1932,1987,54.3,Male
94,WOW,Positive,1917,1989,71.3,Male
95,VIP,Positive,1933,1975,41.3,Male
96,WIN,Positive,1912,1992,79.3,Male
97,VIP,Positive,1914,1981,66.3,Male
98,WIN,Positive,1907,1986,78.3,Male
99,ACE,Positive,1872,1991,118.3,Male
100,VIP,Positive,1880,1982,101.3,Male
101,VIP,Positive,1873,1969,95.3,Male
102,JOY,Positive,1923,1975,51.3,Male
103,VIP,Positive,1898,1976,77.3,Male
104,WOW,Positive,1913,1986,72.3,Male
105,WIN,Positive,1943,1977,33.3,Male
106,ACE,Positive,1892,1969,76.3,Male
107,WOW,Positive,1905,1990,84.3,Male
108,WOW,Positive,1932,1985,52.3,Male
109,WOW,Positive,1891,1987,95.3,Male
110,WOW,Positive,1877,1995,117.3,Male
111,ACE,Positive,1896,1974,77.3,Male
112,JOY,Positive,1885,1971,85.3,Male
113,VIP,Positive,1945,1992,46.3,Male
114,WOW,Positive,1936,1973,36.3,Male
115,VIP,Positive,1923,1970,46.3,Male
116,VIP,Positive,1941,1988,46.3,Male
117,WOW,Positive,1935,1993,57.3,Male
118,JOY,Positive,1887,1972,84.3,Male
119,VIP,Positive,1942,1978,35.3,Male
120,WIN,Positive,1915,1978,62.3,Male
121,VIP,Positive,1936,1992,55.3,Male
122,WOW,Positive,1943,1989,45.3,Male
123,ACE,Positive,1898,1979,80.3,Male
124,VIP,Positive,1880,1995,114.3,Male
125,JOY,Positive,1891,1984,92.3,Male
126,WIN,Positive,1907,1994,86.3,Male
127,WIN,Positive,1937,1985,47.3,Male
128,ACE,Positive,1940,1984,43.3,Male
129,ACE,Positive,1870,1975,104.3,Male
130,VIP,Positive,1913,1984,70.3,Male
131,WOW,Positive,1906,1971,64.3,Male
132,JOY,Positive,1890,1994,103.3,Male
133,WIN,Positive,1881,1984,102.3,Male
134,ACE,Positive,1900,1976,75.3,Male
135,JOY,Positive,1946,1980,33.3,Male
136,WOW,Positive,1898,1971,72.3,Male
137,WIN,Positive,1914,1985,70.3,Male
138,WIN,Positive,1928,1989,60.3,Male
139,WOW,Positive,1902,1986,83.3,Male
140,WIN,Positive,1948,1979,30.3,Male
141,WOW,Positive,1948,1972,23.3,Male
142,WIN,Positive,1893,1984,90.3,Male
143,VIP,Positive,1912,1985,72.3,Male
144,WOW,Positive,1897,1977,79.3,Male
145,JOY,Positive,1895,1974,78.3,Male
146,VIP,Positive,1873,1992,118.3,Male
147,JOY,Positive,1921,1995,73.3,Male
148,WIN,Positive,1913,1988,74.3,Male
149,JOY,Positive,1875,1993,117.3,Male
150,VIP,Positive,1895,1970,74.3,Male
151,WOW,Positive,1943,1977,33.3,Male
152,ACE,Positive,1892,1989,96.3,Male
153,JOY,Positive,1883,1974,90.3,Male
154,ACE,Positive,1912,1971,58.3,Male
155,JOY,Positive,1949,1988,38.3,Male
156,JOY,Positive,1892,1974,81.3,Male
157,WOW,Positive,1926,1975,48.3,Male
158,WIN,Positive,1932,1969,36.3,Male
159,VIP,Positive,1891,1991,99.3,Male
160,VIP,Positive,1930,1969,38.3,Male
161,VIP,Positive,1902,1973,70.3,Male
162,WIN,Positive,1922,1974,51.3,Male
163,ACE,Positive,1923,1981,57.3,Male
164,VIP,Positive,1915,1970,54.3,Male
165,ACE,Positive,1878,1983,104.3,Male
166,WIN,Positive,1938,1983,44.3,Male
167,WIN,Positive,1898,1981,82.3,Male
168,WOW,Positive,1887,1994,106.3,Male
169,VIP,Positive,1874,1993,118.3,Male
170,WOW,Positive,1919,1982,62.3,Male
171,VIP,Positive,1926,1994,67.3,Male
172,WIN,Positive,1871,1990,118.3,Male
173,WIN,Positive,1913,1975,61.3,Male
174,JOY,Positive,1890,1982,91.3,Male
175,JOY,Positive,1923,1994,70.3,Male
176,WIN,Positive,1886,1992,105.3,Male
177,WIN,Positive,1927,1995,67.3,Male
178,ACE,Positive,1904,1978,73.3,Male
179,ACE,Positive,1946,1985,38.3,Male
180,WOW,Positive,1883,1982,98.3,Male
181,JOY,Positive,1900,1976,75.3,Male
182,JOY,Positive,1881,1972,90.3,Male
183,WIN,Positive,1945,1994,48.3,Male
184,WIN,Positive,1941,1984,42.3,Male
185,WOW,Positive,1893,1992,98.3,Male
186,JOY,Positive,1925,1981,55.3,Male
187,ACE,Positive,1937,1990,52.3,Male
188,VIP,Positive,1917,1995,77.3,Male
189,WOW,Positive,1915,1993,77.3,Male
190,VIP,Positive,1892,1995,102.3,Male
191,ACE,Positive,1879,1988,108.3,Male
192,ACE,Positive,1943,1986,42.3,Male
193,VIP,Positive,1943,1982,38.3,Male
194,WOW,Positive,1923,1986,62.3,Male
195,VIP,Positive,1900,1973,72.3,Male
196,WOW,Positive,1901,1994,92.3,Male
197,WOW,Positive,1930,1977,46.3,Male
198,WIN,Positive,1943,1971,27.3,Male
199,JOY,Positive,1942,1976,33.3,Male
200,JOY,Positive,1934,1988,53.3,Male
201,ACE,Positive,1923,1990,66.3,Male
202,WIN,Positive,1878,1978,99.3,Male
203,JOY,Positive,1885,1990,104.3,Male
204,WOW,Positive,1943,1987,43.3,Male
205,WOW,Positive,1921,1989,67.3,Male
206,VIP,Positive,1870,1971,100.3,Male
207,VIP,Positive,1879,1979,99.3,Male
208,WOW,Positive,1925,1979,53.3,Male
209,WOW,Positive,1870,1985,114.3,Male
210,VIP,Positive,1885,1984,98.3,Male
211,JOY,Positive,1916,1975,58.3,Male
212,ACE,Positive,1927,1972,44.3,Male
213,VIP,Positive,1924,1991,66.3,Male
214,JOY,Positive,1890,1987,96.3,Male
215,JOY,Positive,1929,1980,50.3,Male
216,JOY,Positive,1891,1983,91.3,Male
217,WIN,Positive,1899,1979,79.3,Male
218,WIN,Positive,1931,1973,41.3,Male
219,JOY,Positive,1924,1973,48.3,Male
220,WOW,Positive,1939,1983,43.3,Male
221,WIN,Positive,1924,1986,61.3,Male
222,VIP,Positive,1918,1979,60.3,Male
223,WIN,Positive,1879,1994,114.3,Male
224,WOW,Positive,1902,1980,77.3,Male
225,ACE,Positive,1894,1970,75.3,Male
226,WIN,Positive,1892,1988,95.3,Male
227,JOY,Positive,1948,1983,34.3,Male
228,JOY,Positive,1904,1988,83.3,Male
229,JOY,Positive,1942,1972,29.3,Male
230,ACE,Positive,1922,1990,67.3,Male
231,WOW,Positive,1935,1986,50.3,Male
232,VIP,Positive,1913,1974,60.3,Male
233,WOW,Positive,1918,1991,72.3,Male
234,ACE,Positive,1912,1995,82.3,Male
235,JOY,Positive,1888,1994,105.3,Male
236,WOW,Positive,1929,1987,57.3,Male
237,VIP,Positive,1895,1979,83.3,Male
238,JOY,Positive,1872,1992,119.3,Male
239,VIP,Positive,1923,1970,46.3,Male
240,WIN,Positive,1886,1995,108.3,Male
241,VIP,Positive,1946,1976,29.3,Male
242,JOY,Positive,1947,1979,31.3,Male
243,WIN,Positive,1944,1973,28.3,Male
244,JOY,Positive,1902,1986,83.3,Male
245,JOY,Positive,1871,1991,119.3,Male
246,WIN,Positive,1945,1986,40.3,Male
247,VIP,Positive,1907,1982,74.3,Male
248,ACE,Positive,1948,1990,41.3,Male
249,ACE,Positive,1948,1978,29.3,Male
250,ACE,Positive,1939,1971,31.3,Male
251,ACE,Positive,1896,1977,80.3,Male
252,WOW,Positive,1903,1971,67.3,Male
253,ACE,Positive,1939,1979,39.3,Male
254,WIN,Positive,1898,1980,81.3,Male
255,ACE,Positive,1886,1980,93.3,Male
256,JOY,Positive,1917,1971,53.3,Male
257,ACE,Positive,1946,1989,42.3,Male
258,VIP,Positive,1927,1975,47.3,Male
259,WIN,Positive,1918,1982,63.3,Male
260,WIN,Positive,1879,1992,112.3,Male
261,WOW,Positive,1921,1979,57.3,Male
262,JOY,Positive,1950,1975,24.3,Male
263,WIN,Positive,1883,1993,109.3,Male
264,VIP,Positive,1914,1989,74.3,Male
265,ACE,Positive,1941,1978,36.3,Male
266,WIN,Positive,1931,1979,47.3,Male
267,VIP,Positive,1927,1983,55.3,Male
268,ACE,Positive,1928,1987,58.3,Male
269,WOW,Positive,1901,1984,82.3,Male
270,WIN,Positive,1896,1990,93.3,Male
271,WIN,Positive,1936,1989,52.3,Male
272,VIP,Positive,1936,1988,51.3,Male
273,JOY,Positive,1940,1980,39.3,Male
274,WOW,Positive,1944,1986,41.3,Male
275,JOY,Positive,1913,1991,77.3,Male
276,WIN,Positive,1912,1981,68.3,Male
277,JOY,Positive,1935,1973,37.3,Male
278,ACE,Positive,1924,1972,47.3,Male
279,WOW,Positive,1928,1982,53.3,Male
280,JOY,Positive,1935,1976,40.3,Male
281,ACE,Positive,1942,1977,34.3,Male
282,VIP,Positive,1900,1993,92.3,Male
283,JOY,Positive,1903,1987,83.3,Male
284,WOW,Positive,1879,1971,91.3,Male
285,ACE,Positive,1918,1973,54.3,Male
286,JOY,Positive,1873,1989,115.3,Male
287,VIP,Positive,1910,1994,83.3,Male
288,JOY,Positive,1916,1986,69.3,Male
289,ACE,Positive,1895,1969,73.3,Male
290,JOY,Positive,1919,1976,56.3,Male
291,WOW,Positive,1873,1987,113.3,Male
292,WIN,Positive,1873,1985,111.3,Male
293,ACE,Positive,1937,1985,47.3,Male
294,ACE,Positive,1901,1979,77.3,Male
295,ACE,Positive,1882,1970,87.3,Male
296,ACE,Positive,1914,1974,59.3,Male
297,JOY,Positive,1933,1990,56.3,Male
298,WOW,Positive,1890,1982,91.3,Male
299,VIP,Positive,1922,1971,48.3,Male
300,WOW,Positive,1878,1980,101.3,Male
301,ACE,Positive,1875,1972,96.3,Male
302,JOY,Positive,1915,1980,64.3,Male
303,JOY,Positive,1915,1981,65.3,Male
304,ACE,Positive,1923,1970,46.3,Male
305,JOY,Positive,1930,1970,39.3,Male
306,ACE,Positive,1949,1983,33.3,Male
307,WOW,Positive,1914,1991,76.3,Male
308,WIN,Positive,1898,1985,86.3,Male
309,JOY,Positive,1935,1975,39.3,Male
310,ACE,Positive,1894,1982,87.3,Male
311,ACE,Positive,1908,1980,71.3,Male
312,JOY,Positive,1877,1985,107.3,Male
313,VIP,Positive,1872,1982,109.3,Male
314,ACE,Positive,1948,1974,25.3,Male
315,JOY,Positive,1938,1987,48.3,Male
316,ACE,Positive,1927,1992,64.3,Male
317,VIP,Positive,1905,1974,68.3,Male
318,WIN,Positive,1886,1995,108.3,Male
319,VIP,Positive,1884,1986,101.3,Male
320,WOW,Positive,1892,1992,99.3,Male
321,JOY,Positive,1916,1973,56.3,Male
322,VIP,Positive,1929,1992,62.3,Male
323,WIN,Positive,1925,1992,66.3,Male
324,ACE,Positive,1895,1974,78.3,Male
325,JOY,Positive,1947,1970,22.3,Male
326,VIP,Positive,1930,1976,45.3,Male
327,WIN,Positive,1917,1983,65.3,Male
328,VIP,Positive,1921,1983,61.3,Male
329,WOW,Positive,1906,1979,72.3,Male
330,JOY,Positive,1892,1990,97.3,Male
331,ACE,Positive,1901,1990,88.3,Male
332,WIN,Positive,1932,1992,59.3,Male
333,VIP,Positive,1871,1969,97.3,Male
334,JOY,Positive,1881,1986,104.3,Male
335,VIP,Positive,1874,1980,105.3,Male
336,JOY,Positive,1874,1980,105.3,Male
337,WOW,Positive,1939,1993,53.3,Male
338,VIP,Positive,1928,1979,50.3,Male
339,WOW,Positive,1910,1976,65.3,Male
340,WIN,Positive,1879,1975,95.3,Male
341,WOW,Positive,1912,1991,78.3,Male
342,JOY,Positive,1910,1989,78.3,Male
343,WIN,Positive,1886,1970,83.3,Male
344,VIP,Positive,1907,1979,71.3,Male
345,VIP,Positive,1904,1990,85.3,Male
346,JOY,Positive,1921,1978,56.3,Male
347,ACE,Positive,1923,1971,47.3,Male
348,ACE,Positive,1874,1988,113.3,Male
349,VIP,Positive,1903,1978,74.3,Male
350,JOY,Positive,1922,1995,72.3,Male
351,ACE,Positive,1913,1986,72.3,Male
352,WOW,Positive,1940,1982,41.3,Male
353,VIP,Positive,1924,1986,61.3,Male
354,WOW,Positive,1885,1992,106.3,Male
355,JOY,Positive,1877,1976,98.3,Male
356,WOW,Positive,1923,1978,54.3,Male
357,ACE,Positive,1872,1990,117.3,Male
358,ACE,Positive,1919,1981,61.3,Male
359,WIN,Positive,1946,1989,42.3,Male
360,VIP,Positive,1918,1976,57.3,Male
361,JOY,Positive,1904,1972,67.3,Male
362,VIP,Positive,1923,1995,71.3,Male
363,WOW,Positive,1909,1972,62.3,Male
364,JOY,Positive,1916,1973,56.3,Male
365,JOY,Positive,1946,1969,22.3,Male
366,ACE,Positive,1903,1985,81.3,Male
367,WOW,Positive,1948,1970,21.3,Male
368,ACE,Positive,1943,1976,32.3,Male
369,ACE,Positive,1888,1975,86.3,Male
370,WIN,Positive,1876,1983,106.3,Male
371,ACE,Positive,1879,1994,114.3,Male
372,VIP,Positive,1871,1993,121.3,Male
373,JOY,Positive,1879,1973,93.3,Male
374,ACE,Positive,1926,1970,43.3,Male
375,VIP,Positive,1877,1975,97.3,Male
376,WOW,Positive,1898,1976,77.3,Male
377,JOY,Positive,1939,1975,35.3,Male
378,WOW,Positive,1872,1975,102.3,Male
379,VIP,Positive,1936,1982,45.3,Male
380,WOW,Positive,1895,1989,93.3,Male
381,WOW,Positive,1881,1986,104.3,Male
382,WOW,Positive,1927,1974,46.3,Male
383,ACE,Positive,1922,1972,49.3,Male
384,ACE,Positive,1941,1978,36.3,Male
385,ACE,Positive,1930,1986,55.3,Male
386,JOY,Positive,1935,1980,44.3,Male
387,VIP,Positive,1895,1984,88.3,Male
388,ACE,Positive,1886,1993,106.3,Male
389,WOW,Positive,1931,1975,43.3,Male
390,WOW,Positive,1936,1974,37.3,Male
391,WOW,Positive,1950,1973,22.3,Male
392,WOW,Positive,1906,1971,64.3,Male
393,WIN,Positive,1902,1980,77.3,Male
394,JOY,Positive,1933,1983,49.3,Male
395,VIP,Positive,1900,1978,77.3,Male
396,VIP,Positive,1945,1994,48.3,Male
397,ACE,Positive,1940,1988,47.3,Male
398,WIN,Positive,1907,1987,79.3,Male
399,VIP,Positive,1931,1984,52.3,Male
400,JOY,Positive,1932,1979,46.3,Male
401,WOW,Positive,1880,1976,95.3,Male
402,ACE,Positive,1943,1971,27.3,Male
403,JOY,Positive,1913,1991,77.3,Male
404,VIP,Positive,1937,1975,37.3,Male
405,WIN,Positive,1898,1991,92.3,Male
406,ACE,Positive,1942,1975,32.3,Male
407,VIP,Positive,1904,1982,77.3,Male
408,ACE,Positive,1871,1970,98.3,Male
409,VIP,Positive,1943,1978,34.3,Male
410,WOW,Positive,1878,1987,108.3,Male
411,WIN,Positive,1898,1994,95.3,Male
412,WOW,Positive,1947,1977,29.3,Male
413,VIP,Positive,1947,1984,36.3,Male
414,JOY,Positive,1918,1987,68.3,Male
415,WOW,Positive,1922,1986,63.3,Male
416,JOY,Positive,1908,1977,68.3,Male
417,VIP,Positive,1896,1984,87.3,Male
418,WIN,Positive,1899,1981,81.3,Male
419,JOY,Positive,1926,1978,51.3,Male
420,VIP,Positive,1932,1993,60.3,Male
421,JOY,Positive,1935,1988,52.3,Male
422,WOW,Positive,1934,1982,47.3,Male
423,VIP,Positive,1878,1980,101.3,Male
424,WOW,Positive,1912,1993,80.3,Male
425,ACE,Positive,1875,1987,111.3,Male
426,VIP,Positive,1916,1975,58.3,Male
427,JOY,Positive,1908,1991,82.3,Male
428,ACE,Positive,1942,1983,40.3,Male
429,WOW,Positive,1901,1984,82.3,Male
430,WOW,Positive,1881,1995,113.3,Male
431,JOY,Positive,1883,1976,92.3,Male
432,ACE,Positive,1932,1978,45.3,Male
433,WIN,Positive,1921,1972,50.3,Male
434,JOY,Positive,1879,1987,107.3,Male
435,WOW,Positive,1878,1987,108.3,Male
436,VIP,Positive,1928,1989,60.3,Male
437,ACE,Positive,1877,1995,117.3,Male
438,WIN,Positive,1937,1983,45.3,Male
439,VIP,Positive,1928,1982,53.3,Male
440,ACE,Positive,1878,1969,90.3,Male
441,JOY,Positive,1878,1984,105.3,Male
442,JOY,Positive,1949,1978,28.3,Male
443,ACE,Positive,1903,1987,83.3,Male
444,WIN,Positive,1902,1990,87.3,Male
445,ACE,Positive,1936,1971,34.3,Male
446,VIP,Positive,1946,1973,26.3,Male
447,VIP,Positive,1949,1977,27.3,Male
448,JOY,Positive,1932,1986,53.3,Male
449,ACE,Positive,1903,1979,75.3,Male
450,JOY,Positive,1878,1984,105.3,Male
451,WIN,Positive,1933,1970,36.3,Male
452,VIP,Positive,1917,1980,62.3,Male
453,WOW,Positive,1906,1990,83.3,Male
454,WOW,Positive,1943,1974,30.3,Male
455,ACE,Positive,1880,1979,98.3,Male
456,ACE,Positive,1912,1995,82.3,Male
457,WOW,Positive,1871,1976,104.3,Male
458,ACE,Positive,1910,1980,69.3,Male
459,VIP,Positive,1875,1995,119.3,Male
460,WIN,Positive,1881,1970,88.3,Male
461,WIN,Positive,1881,1977,95.3,Male
462,JOY,Positive,1924,1983,58.3,Male
463,VIP,Positive,1931,1970,38.3,Male
464,ACE,Positive,1919,1969,49.3,Male
465,ACE,Positive,1948,1978,29.3,Male
466,JOY,Positive,1903,1970,66.3,Male
467,JOY,Positive,1895,1980,84.3,Male
468,ACE,Positive,1940,1991,50.3,Male
469,ACE,Positive,1890,1976,85.3,Male
470,VIP,Positive,1948,1973,24.3,Male
471,JOY,Positive,1871,1990,118.3,Male
472,VIP,Positive,1948,1969,20.3,Male
473,ACE,Positive,1874,1983,108.3,Male
474,WOW,Positive,1942,1974,31.3,Male
475,WOW,Positive,1914,1980,65.3,Male
476,ACE,Positive,1950,1976,25.3,Male
477,JOY,Positive,1877,1981,103.3,Male
478,WOW,Positive,1916,1987,70.3,Male
479,JOY,Positive,1948,1995,46.3,Male
480,WOW,Positive,1914,1969,54.3,Male
481,JOY,Positive,1922,1979,56.3,Male
482,WOW,Positive,1927,1988,60.3,Male
483,JOY,Positive,1909,1969,59.3,Male
484,VIP,Positive,1922,1976,53.3,Male
485,JOY,Positive,1919,1973,53.3,Male
486,VIP,Positive,1943,1985,41.3,Male
487,VIP,Positive,1874,1976,101.3,Male
488,ACE,Positive,1895,1993,97.3,Male
489,VIP,Positive,1947,1978,30.3,Male
490,WIN,Positive,1942,1970,27.3,Male
491,VIP,Positive,1909,1977,67.3,Male
492,JOY,Positive,1922,1992,69.3,Male
493,VIP,Positive,1895,1991,95.3,Male
494,JOY,Positive,1887,1971,83.3,Male
495,JOY,Positive,1910,1986,75.3,Male
496,WIN,Positive,1901,1975,73.3,Male
497,VIP,Positive,1919,1983,63.3,Male
498,VIP,Positive,1877,1989,111.3,Male
499,WOW,Positive,1949,1990,40.3,Male
500,WOW,Positive,1949,1988,38.3,Male
501,PIG,Negative,1936,1986,50.0,Male
502,BAD,Negative,1927,1993,66.0,Male
503,SAD,Negative,1911,1971,60.0,Male
504,UGH,Negative,1942,1991,49.0,Male
505,DIE,Negative,1936,1982,46.0,Male
506,PIG,Negative,1896,1992,96.0,Male
507,SAD,Negative,1947,1970,23.0,Male
508,DIE,Negative,1943,1982,39.0,Male
509,DIE,Negative,1948,1990,42.0,Male
510,BAD,Negative,1938,1979,41.0,Male
511,BAD,Negative,1932,1984,52.0,Male
512,UGH,Negative,1919,1976,57.0,Male
513,UGH,Negative,1948,1975,27.0,Male
514,DIE,Negative,1945,1979,34.0,Male
515,DIE,Negative,1879,1971,92.0,Male
516,UGH,Negative,1875,1985,110.0,Male
517,UGH,Negative,1916,1982,66.0,Male
518,DIE,Negative,1942,1974,32.0,Male
519,SAD,Negative,1950,1976,26.0,Male
520,DIE,Negative,1894,1990,96.0,Male
521,SAD,Negative,1931,1973,42.0,Male
522,SAD,Negative,1916,1995,79.0,Male
523,DIE,Negative,1949,1976,27.0,Male
524,PIG,Negative,1944,1970,26.0,Male
525,UGH,Negative,1943,1983,40.0,Male
526,BAD,Negative,1923,1980,57.0,Male
527,DIE,Negative,1919,1985,66.0,Male
528,SAD,Negative,1907,1969,62.0,Male
529,DIE,Negative,1881,1983,102.0,Male
530,UGH,Negative,1945,1982,37.0,Male
531,SAD,Negative,1942,1988,46.0,Male
532,BAD,Negative,1950,1990,40.0,Male
533,BAD,Negative,1950,1984,34.0,Male
534,BAD,Negative,1928,1977,49.0,Male
535,PIG,Negative,1940,1969,29.0,Male
536,SAD,Negative,1948,1985,37.0,Male
537,SAD,Negative,1944,1981,37.0,Male
538,PIG,Negative,1905,1989,84.0,Male
539,SAD,Negative,1921,1994,73.0,Male
540,PIG,Negative,1892,1989,97.0,Male
541,DIE,Negative,1949,1973,24.0,Male
542,UGH,Negative,1931,1978,47.0,Male
543,BAD,Negative,1903,1974,71.0,Male
544,PIG,Negative,1935,1992,57.0,Male
545,PIG,Negative,1932,1987,55.0,Male
546,PIG,Negative,1915,1993,78.0,Male
547,DIE,Negative,1890,1981,91.0,Male
548,PIG,Negative,1935,1969,34.0,Male
549,UGH,Negative,1926,1988,62.0,Male
550,UGH,Negative,1940,1993,53.0,Male
551,BAD,Negative,1926,1983,57.0,Male
552,DIE,Negative,1944,1982,38.0,Male
553,UGH,Negative,1928,1976,48.0,Male
554,SAD,Negative,1929,1978,49.0,Male
555,SAD,Negative,1945,1977,32.0,Male
556,SAD,Negative,1918,1985,67.0,Male
557,PIG,Negative,1892,1977,85.0,Male
558,PIG,Negative,1876,1971,95.0,Male
559,SAD,Negative,1939,1979,40.0,Male
560,BAD,Negative,1932,1980,48.0,Male
561,BAD,Negative,1937,1978,41.0,Male
562,PIG,Negative,1901,1993,92.0,Male
563,SAD,Negative,1893,1985,92.0,Male
564,BAD,Negative,1873,1985,112.0,Male
565,PIG,Negative,1914,1993,79.0,Male
566,SAD,Negative,1930,1979,49.0,Male
567,DIE,Negative,1917,1990,73.0,Male
568,SAD,Negative,1921,1972,51.0,Male
569,SAD,Negative,1946,1975,29.0,Male
570,UGH,Negative,1914,1989,75.0,Male
571,UGH,Negative,1926,1994,68.0,Male
572,DIE,Negative,1941,1982,41.0,Male
573,DIE,Negative,1918,1975,57.0,Male
574,SAD,Negative,1932,1992,60.0,Male
575,BAD,Negative,1944,1976,32.0,Male
576,DIE,Negative,1948,1969,21.0,Male
577,SAD,Negative,1894,1992,98.0,Male
578,PIG,Negative,1947,1990,43.0,Male
579,UGH,Negative,1924,1972,48.0,Male
580,BAD,Negative,1906,1980,74.0,Male
581,SAD,Negative,1922,1992,70.0,Male
582,PIG,Negative,1950,1971,21.0,Male
583,UGH,Negative,1924,1981,57.0,Male
584,PIG,Negative,1912,1988,76.0,Male
585,SAD,Negative,1933,1974,41.0,Male
586,DIE,Negative,1904,1979,75.0,Male
587,UGH,Negative,1884,1991,107.0,Male
588,PIG,Negative,1892,1972,80.0,Male
589,DIE,Negative,1892,1988,96.0,Male
590,BAD,Negative,1895,1984,89.0,Male
591,SAD,Negative,1893,1975,82.0,Male
592,SAD,Negative,1933,1990,57.0,Male
593,UGH,Negative,1898,1979,81.0,Male
594,PIG,Negative,1914,1992,78.0,Male
595,BAD,Negative,1946,1969,23.0,Male
596,UGH,Negative,1923,1994,71.0,Male
597,UGH,Negative,1935,1995,60.0,Male
598,PIG,Negative,1897,1975,78.0,Male
599,BAD,Negative,1899,1980,81.0,Male
600,PIG,Negative,1878,1975,97.0,Male
601,SAD,Negative,1897,1995,98.0,Male
602,DIE,Negative,1908,1991,83.0,Male
603,SAD,Negative,1898,1975,77.0,Male
604,SAD,Negative,1886,1978,92.0,Male
605,UGH,Negative,1891,1984,93.0,Male
606,SAD,Negative,1922,1994,72.0,Male
